dataset_idx,statement,generated_with,eval_text,eval_image,eval_both
0,Both scenes feature a purple character.,text,both,both,both
0,Both characters have insect-like features.,text,both,both,both
0,Both characters have antennae.,text,both,both,both
0,Both characters have a green color in their attire.,text,one,one,both
0,Both characters have a microphone.,text,both,one,both
0,"Both figures are anthropomorphic, with human-like features and postures.",image,both,both,both
0,"Both figures are seated on objects that are not typical for their species, with the left figure on a guitar and the right figure on a taco.",image,both,both,both
0,"Both figures are wearing hats, with the left figure wearing a green hat and the right figure wearing a purple hat.",image,one,both,both
0,"Both figures have a whimsical and playful appearance, with exaggerated features and bright colors.",image,both,both,both
0,"Both figures are positioned in a way that suggests they are engaged in an activity, with the left figure playing a guitar and the right figure holding a fork.",image,one,both,both
0,Both sculptures are purple in color.,both,both,both,both
0,Both sculptures have insect-like features.,both,both,both,both
0,Both sculptures have large eyes.,both,both,both,both
0,Both sculptures have antennae.,both,both,both,both
0,Both sculptures are sitting.,both,both,both,both
0,Both sculptures are playing musical instruments.,both,one,both,both
0,Both sculptures have a colorful appearance.,both,both,both,both
0,Both sculptures are placed on a green surface.,both,one,both,both
0,Both sculptures have a shadow cast on the ground.,both,both,one,both
0,Both sculptures are in an outdoor setting.,both,one,both,both
1,Both scenes have a body of water as the main focus.,text,both,both,both
1,Both scenes have plants growing in the water.,text,both,both,both
1,Both scenes have a forest in the background.,text,both,one,both
1,Both scenes have a reflection of the forest on the water.,text,both,both,both
1,Both scenes have a sunny day.,text,both,both,both
1,"Both images feature a body of water, which is the central element in both scenes.",image,both,both,both
1,"The water in both images is calm, with no visible waves or ripples.",image,one,both,one
1,"The vegetation in both images is lush and green, indicating a healthy ecosystem.",image,both,both,both
1,"The trees in both images have a similar shape and size, with slender trunks and a canopy of leaves.",image,both,both,both
1,"The lighting in both images is natural and soft, suggesting that the photos were taken during the day in good weather conditions.",image,both,both,both
1,Both scenes have a body of water that is brown in color.,both,both,both,both
1,Both scenes have plants and trees in the background.,both,both,both,both
1,Both scenes have a reflection of the trees on the water surface.,both,both,both,both
1,Both scenes have a forest in the background.,both,both,one,both
1,Both scenes have a sunny day with sunlight shining on the water and trees.,both,both,both,both
2,Both scenes are nighttime.,text,both,both,both
2,Both scenes feature a small amphibian (frog/toad) as the main subject.,text,both,both,both
2,Both scenes have a blurry view.,text,one,one,both
2,"Both scenes have a ground surface that is not completely flat (stone paving stones, curb).",text,both,both,both
2,Both scenes have a plant or grassy area in the background.,text,both,both,both
2,Both images feature a frog as the main subject.,image,one,both,both
2,"The frog is positioned on a surface that is not natural for it, such as a stone or concrete.",image,both,both,both
2,"The frog is in a relatively small space, indicating it might be in an urban or human-altered environment.",image,both,both,both
2,"The lighting in both images is low, suggesting they were taken at night.",image,both,both,both
2,"The frog's coloration is similar in both images, with a mix of brown and green tones.",image,both,both,both
2,Both scenes are nighttime.,both,both,both,both
2,Both scenes have a small amphibian (frog/toad) as the main subject.,both,both,both,both
2,Both scenes have a concrete or stone surface that the amphibian is sitting on.,both,both,both,both
2,Both scenes have a plant or grassy area nearby.,both,both,both,both
2,Both scenes have a dark background with the subject being the main focus.,both,both,both,both
3,Both scenes are set in an aquarium.,text,both,both,both
3,Both scenes feature fish swimming in the water.,text,both,both,both
3,Both scenes have a light source shining through the water.,text,both,one,both
3,Both scenes have a reflection of light on the fish.,text,both,one,both
3,Both scenes have a blue hue to the water.,text,both,both,both
3,"Both images depict marine life in a blue environment, which is characteristic of underwater settings.",image,both,both,both
3,The presence of fish in both images suggests a common aquatic habitat.,image,both,both,both
3,"The clear visibility of the fish and other marine life in both images indicates a well-lit underwater environment, possibly due to sunlight or artificial lighting.",image,both,both,both
3,"The fish in both images are swimming in groups, which is a common behavior in many fish species.",image,both,both,both
3,"The overall composition of the images, with the fish and other marine life occupying the majority of the frame, emphasizes the importance of these creatures in the underwater ecosystem.",image,both,both,both
3,Both scenes are underwater and have a blue hue.,both,both,both,both
3,There is a light source above the water in both scenes.,both,both,one,both
3,The water in both scenes is clear and has ripples.,both,both,both,both
