dataset_idx,statement,generated_with,eval_text,eval_image,eval_both
0,Both sculptures are of a purple color.,text,one,one,one
0,Both sculptures have insect-like features.,text,one,one,one
0,Both sculptures have antennae.,text,one,one,one
0,Both sculptures have eyes.,text,one,one,both
0,Both sculptures are holding an object. ,text,one,one,one
0,Both images feature a statue of a purple and yellow insect.,image,one,one,one
0,The insect statue is playing a guitar in both images.,image,one,one,one
0,The insect statue is wearing orange shoes in both images.,image,one,one,one
0,The insect statue is sitting on a red and yellow platform in both images.,image,one,one,one
0,The background of both images includes a green fence and trees. ,image,one,one,both
0,Both sculptures are of a purple color.,both,one,one,one
0,Both sculptures have insect-like features.,both,one,one,one
0,Both sculptures have red antennae.,both,one,one,one
0,Both sculptures have big bulging eyes.,both,one,one,one
0,Both sculptures are wearing shoes. ,both,one,one,one
1,Both scenes feature a body of water.,text,one,one,both
1,Both scenes have plants growing in the water.,text,one,one,one
1,Both scenes have ripples on the surface of the water.,text,one,one,one
1,Both scenes have trees in the background.,text,both,unknown,both
1,Both scenes have a bright sun shining on the water and plants. ,text,both,one,one
1,Both images show a body of water.,image,one,one,both
1,Both images feature green vegetation.,image,one,one,one
1,Both images depict a natural environment.,image,both,one,both
1,Both images show a reflection on the water.,image,one,one,one
1,Both images have a clear sky in the background. ,image,one,one,one
1,Both scenes have water bodies.,both,one,unknown,both
1,Both scenes have plants growing in the water.,both,one,one,one
1,Both scenes have trees in the background.,both,both,unknown,both
1,Both scenes have ripples in the water.,both,one,one,one
1,Both scenes have a reflection of the sky on the water. ,both,one,one,one
2,"Both scenes feature a small amphibian, either a frog or a toad, resting on a paved surface.",text,one,one,one
2,Both scenes are taken at nighttime.,text,both,one,both
2,Both scenes have a metal edging or curb separating the paved surface from a plant-filled area.,text,one,one,one
2,Both scenes have a dark spot or pattern on the back of the amphibian.,text,one,one,one
2,Both scenes have a light-colored stripe running down the back of the amphibian. ,text,one,one,one
2,Both images feature a small frog.,image,one,one,one
2,The frog is on a sidewalk.,image,one,one,one
2,The sidewalk is made of concrete.,image,one,one,one
2,The frog is near a curb.,image,one,one,one
2,The curb is made of concrete. ,image,one,one,one
2,"Both scenes feature a small amphibian, either a frog or a toad, resting on a paved surface.",both,one,one,one
2,Both scenes take place at night.,both,one,one,one
2,Both scenes show the amphibian in a neutral sitting position.,both,one,one,one
2,Both scenes have a metal edging separating the paved surface from a planter filled with wood chips and plants.,both,one,one,one
2,Both scenes have a curb and grass and plants hanging over the curb. ,both,one,one,one
3,Both scenes take place in an aquarium.,text,both,one,both
3,Both scenes feature fish swimming in the water.,text,both,both,both
3,Both scenes have a light source shining through the water.,text,both,one,one
3,Both scenes have a large rock structure in the background.,text,one,one,one
