dataset_idx,statement,generated_with,eval_text,eval_image,eval_both,unique_k
0,Both scenes feature a purple-colored character or sculpture.,text,both,both,both,0_0_0
0,"Both characters have insect-like features, such as antennae.",text,both,both,both,0_0_1
0,"Both characters are depicted in a playful or artistic manner, with one playing musical instruments and the other holding a microphone.",text,both,both,both,0_0_2
0,"Both scenes include elements of nature, such as shrubs or grass, in the background.",text,both,both,both,0_0_3
0,"Both scenes have a whimsical, cartoon-like or stylized aesthetic.",text,both,both,both,0_0_4
0,"Both images depict a colorful, whimsical, and cartoonish character.",image,both,both,both,0_1_0
0,"The characters in both images have large, expressive eyes.",image,both,both,both,0_1_1
0,"The characters in both images are holding or interacting with musical instruments, such as a guitar.",image,one,both,one,0_1_2
0,"The characters in both images have exaggerated, stylized features and proportions.",image,both,both,both,0_1_3
0,The backgrounds in both images feature natural elements like plants and greenery.,image,both,both,both,0_1_4
0,"Both scenes feature colorful, cartoon-style sculptures of anthropomorphic characters.",both,both,both,both,0_2_0
0,"The sculptures in both scenes have exaggerated, insect-like features such as multiple limbs and large, bulging eyes.",both,both,both,both,0_2_1
0,"The sculptures are painted in vibrant, contrasting colors, including purple, red, yellow, and green.",both,both,both,both,0_2_2
0,"The sculptures are depicted in playful, expressive poses, with the characters engaged in musical or performative activities.",both,both,both,both,0_2_3
0,"The sculptures are placed in outdoor, natural settings, with greenery and foliage visible in the background.",both,both,both,both,0_2_4
1,"Both scenes depict a body of water, with one being a ""body of brackish water"" and the other a ""brown lake"".",text,both,both,both,1_0_0
1,"Both scenes show the presence of ripples on the surface of the water, reflecting the sunlight.",text,both,both,both,1_0_1
1,"Both scenes feature a forest or trees in the background, with the trees taking up a significant portion of the top part of the images.",text,both,both,both,1_0_2
1,"Both scenes have a small portion of the sky visible, either through the limbs and leaves of the trees or in the top right corner.",text,both,both,both,1_0_3
1,"Both scenes have a calm and serene atmosphere, with the water and the surrounding environment creating a peaceful and tranquil setting.",text,both,both,both,1_0_4
1,"Both images depict a natural, lush, and green environment with dense foliage and trees.",image,one,both,one,1_1_0
1,"Both images show a body of water, either a pond or a river, with the water reflecting the surrounding vegetation.",image,both,both,both,1_1_1
1,"The color palette in both images is dominated by various shades of green, creating a serene and tranquil atmosphere.",image,one,both,both,1_1_2
1,"The images capture a sense of depth, with the foreground vegetation transitioning into the background trees and water.",image,both,both,both,1_1_3
1,"The overall composition and framing of the two images are similar, with the focus on the natural landscape and the interplay between the water and the vegetation.",image,both,both,both,1_1_4
1,"Both scenes depict a body of water, either a lake or a pond, surrounded by lush, green vegetation.",both,both,both,both,1_2_0
1,"Both scenes show the water surface reflecting the surrounding trees and foliage, creating a mirror-like effect.",both,both,both,both,1_2_1
1,"Both scenes have a forested area in the background, with the trees providing a dense, green canopy.",both,both,both,both,1_2_2
1,"Both scenes feature calm, rippling water surfaces that are illuminated by sunlight.",both,both,both,both,1_2_3
1,"Both scenes have a sense of tranquility and natural beauty, with the water and vegetation creating a serene, peaceful atmosphere.",both,both,both,both,1_2_4
2,"Both scenes depict a small amphibian (a frog in the first scene and a toad in the second scene) resting on a hard, outdoor surface.",text,both,both,both,2_0_0
2,"Both scenes have a nighttime setting, with the scenes being slightly blurry or dimly lit.",text,both,both,both,2_0_1
2,"Both scenes show the amphibian in a neutral, resting position, with its body close to the ground.",text,both,both,both,2_0_2
2,"Both scenes include elements of vegetation or landscaping around the amphibian, such as plants, wood chips, or grass.",text,both,both,both,2_0_3
2,"Both scenes have a sense of contrast, with the amphibian being a small, central focus against a larger, more detailed background.",text,both,both,both,2_0_4
2,"Both images show a natural, outdoor setting with vegetation present.",image,both,both,both,2_1_0
2,"Both images feature a hard, solid surface such as concrete or stone.",image,both,both,both,2_1_1
2,There is a small animal or creature visible in both images - a frog in the second image.,image,one,both,both,2_1_2
2,"The lighting and overall tone of the images appear to be similar, with a darker, more muted color palette.",image,both,both,both,2_1_3
2,The compositions of the images are both focused on the interaction between the natural and man-made elements within the frame.,image,both,both,both,2_1_4
2,"Both scenes depict a small amphibian (a frog in the first scene and a toad in the second scene) resting on a hard, paved surface.",both,both,both,both,2_2_0
2,"The amphibians in both scenes are in a neutral, resting position, with their bodies close to the ground.",both,both,both,both,2_2_2
2,"The lighting in both scenes is low, suggesting it is nighttime or evening.",both,both,both,both,2_2_4
2,"There is vegetation, such as plants or grass, present in the background or surrounding the amphibians in both scenes.",both,both,both,both,2_2_6
2,"The surfaces the amphibians are resting on (the driveway paving stones and the concrete curb) have some texture, cracks, or staining visible.",both,both,both,both,2_2_8
3,Both scenes depict an aquarium environment with water and various types of fish.,text,both,both,both,3_0_0
3,"Both scenes feature light shining through the water's surface, creating reflections and ripple effects.",text,both,both,both,3_0_1
3,Both scenes include a school or group of smaller fish swimming in the aquarium.,text,both,both,both,3_0_2
